"Vrachtauto's en trekkers gewicht","Bouwjaren","Perioden","Kilometers vrachtvoertuigen in Nederland Totaal kilometers in Nederland (x mln km)","Kilometers door Nederlandse voertuigen (x mln km)","Kilometers door buitenlandse voertuigen (x mln km)","Kilometers Nederlandse vrachtvoertuigen Totaal kilometers (x mln km)","Kilometers in Nederland (x mln km)","Kilometers in het buitenland (x mln km)","Gemiddeld jaarkilometrage Totaal gemiddeld jaarkilometrage (aantal km)","Gemiddeld jaarkilometrage in Nederland (aantal km)","Gemiddeld jaarkilometrage in buitenland (aantal km)","Nederlandse vrachtvoertuigen in gebruik (aantal)"
"Vrachtauto's en trekkers voor oplegger","Totaal alle bouwjaren","2015","6.923,4","6.166,8","756,6","9.213,4","6.166,8","3.046,6","58.776","39.340","19.435","156.756"
"Vrachtauto's en trekkers voor oplegger","Totaal alle bouwjaren","2016","7.330,9","6.499,2","831,8","9.362,6","6.499,2","2.863,4","58.847","40.850","17.998","159.099"
"Vrachtauto's en trekkers voor oplegger","Totaal alle bouwjaren","2017","7.450,9","6.568,4","882,5","9.442,9","6.568,4","2.874,5","58.367","40.599","17.767","161.786"
"Vrachtauto's en trekkers voor oplegger","Totaal alle bouwjaren","2018","7.469,7","6.581,7","887,9","9.521,6","6.581,7","2.939,8","57.287","39.599","17.688","166.209"
"Vrachtauto's en trekkers voor oplegger","Totaal alle bouwjaren","2019*","7.503,4","6.596,7","906,7","9.392,1","6.596,7","2.795,4","55.205","38.774","16.431","170.132"
"Vrachtauto's en trekkers voor oplegger","Totaal alle bouwjaren","2020*","7.436,7","6.490,7","946,0","9.142,0","6.490,7","2.651,3","54.505","38.698","15.807","167.729"
"Trekker voor oplegger","Totaal alle bouwjaren","2015","4.747,8","4.129,8","618,1","6.618,4","4.129,8","2.488,6","77.192","48.166","29.025","85.740"
"Trekker voor oplegger","Totaal alle bouwjaren","2016","5.106,8","4.423,9","682,9","6.774,9","4.423,9","2.351,0","76.800","50.150","26.651","88.214"
"Trekker voor oplegger","Totaal alle bouwjaren","2017","5.199,9","4.455,3","744,6","6.880,8","4.455,3","2.425,5","75.874","49.128","26.746","90.687"
"Trekker voor oplegger","Totaal alle bouwjaren","2018","5.264,7","4.522,9","741,8","6.979,1","4.522,9","2.456,2","73.863","47.868","25.995","94.487"
"Trekker voor oplegger","Totaal alle bouwjaren","2019*","5.341,7","4.587,3","754,3","6.913,1","4.587,3","2.325,7","70.824","46.997","23.827","97.609"
"Trekker voor oplegger","Totaal alle bouwjaren","2020*","5.364,8","4.581,2","783,6","6.777,4","4.581,2","2.196,2","70.789","47.850","22.939","95.741"
"Vrachtauto (excl. trekker voor oplegger)","Totaal alle bouwjaren","2015","2.175,6","2.037,0","138,6","2.595,0","2.037,0","558,0","36.541","28.684","7.857","71.016"
"Vrachtauto (excl. trekker voor oplegger)","Totaal alle bouwjaren","2016","2.224,1","2.075,3","148,9","2.587,7","2.075,3","512,4","36.506","29.276","7.229","70.885"
"Vrachtauto (excl. trekker voor oplegger)","Totaal alle bouwjaren","2017","2.251,0","2.113,2","137,8","2.562,1","2.113,2","449,0","36.036","29.721","6.314","71.099"
"Vrachtauto (excl. trekker voor oplegger)","Totaal alle bouwjaren","2018","2.204,9","2.058,8","146,1","2.542,5","2.058,8","483,6","35.449","28.706","6.743","71.722"
"Vrachtauto (excl. trekker voor oplegger)","Totaal alle bouwjaren","2019*","2.161,7","2.009,4","152,3","2.479,1","2.009,4","469,7","34.183","27.707","6.476","72.523"
"Vrachtauto (excl. trekker voor oplegger)","Totaal alle bouwjaren","2020*","2.071,9","1.909,5","162,4","2.364,6","1.909,5","455,1","32.848","26.526","6.322","71.988"
"Gewicht volle wagen: tot 10 000 kg","Totaal alle bouwjaren","2015","211,6","207,6","4,0","223,7","207,6","16,1","15.809","14.671","1.138","14.149"
"Gewicht volle wagen: tot 10 000 kg","Totaal alle bouwjaren","2016","201,6","194,4","7,2","219,1","194,4","24,7","15.856","14.071","1.785","13.817"
"Gewicht volle wagen: tot 10 000 kg","Totaal alle bouwjaren","2017","193,0","187,9","5,0","204,3","187,9","16,4","15.255","14.033","1.221","13.393"
"Gewicht volle wagen: tot 10 000 kg","Totaal alle bouwjaren","2018","187,4","183,7","3,7","196,0","183,7","12,3","14.997","14.055","942","13.072"
"Gewicht volle wagen: tot 10 000 kg","Totaal alle bouwjaren","2019*","176,6","173,3","3,3","183,5","173,3","10,1","14.356","13.563","792","12.781"
"Gewicht volle wagen: tot 10 000 kg","Totaal alle bouwjaren","2020*","155,7","150,5","5,2","165,0","150,5","14,5","13.099","11.949","1.151","12.594"
"Gewicht volle wagen:10 000 tot 20 000 kg","Totaal alle bouwjaren","2015","903,3","865,7","37,6","1.017,1","865,7","151,4","33.088","28.164","4.924","30.739"
"Gewicht volle wagen:10 000 tot 20 000 kg","Totaal alle bouwjaren","2016","912,2","875,1","37,2","1.003,0","875,1","127,9","32.928","28.729","4.200","30.460"
"Gewicht volle wagen:10 000 tot 20 000 kg","Totaal alle bouwjaren","2017","902,2","868,6","33,5","977,9","868,6","109,3","32.206","28.607","3.599","30.364"
"Gewicht volle wagen:10 000 tot 20 000 kg","Totaal alle bouwjaren","2018","867,9","824,3","43,6","968,6","824,3","144,4","31.754","27.021","4.733","30.504"
"Gewicht volle wagen:10 000 tot 20 000 kg","Totaal alle bouwjaren","2019*","847,2","805,1","42,2","935,1","805,1","130,1","30.671","26.405","4.266","30.489"
"Gewicht volle wagen:10 000 tot 20 000 kg","Totaal alle bouwjaren","2020*","779,2","740,0","39,2","849,9","740,0","109,9","28.367","24.698","3.668","29.961"
"Gewicht volle wagen: 20 000 kg of meer","Totaal alle bouwjaren","2015","1.060,7","963,7","97,0","1.354,2","963,7","390,5","51.830","36.884","14.946","26.128"
"Gewicht volle wagen: 20 000 kg of meer","Totaal alle bouwjaren","2016","1.110,3","1.005,8","104,5","1.365,6","1.005,8","359,8","51.324","37.800","13.524","26.607"
"Gewicht volle wagen: 20 000 kg of meer","Totaal alle bouwjaren","2017","1.155,9","1.056,6","99,3","1.379,9","1.056,6","323,3","50.468","38.643","11.825","27.343"
"Gewicht volle wagen: 20 000 kg of meer","Totaal alle bouwjaren","2018","1.149,6","1.050,9","98,7","1.377,8","1.050,9","326,9","48.952","37.336","11.616","28.146"
"Gewicht volle wagen: 20 000 kg of meer","Totaal alle bouwjaren","2019*","1.137,8","1.031,0","106,9","1.360,5","1.031,0","329,5","46.506","35.243","11.263","29.254"
"Gewicht volle wagen: 20 000 kg of meer","Totaal alle bouwjaren","2020*","1.137,1","1.019,1","118,0","1.349,8","1.019,1","330,7","45.859","34.623","11.236","29.433"
"Bron: CBS."
